Update,Avg_Reward,Avg_Ep_Length,Miss_Dist_m,Impact_Speed_ms,Policy_Loss,Value_Loss,Time
0,-4.7390546798706055,673.4006958007812,59.7711296081543,95.52334594726562,0.07193426787853241,0.22928103804588318,14.692294120788574
10,-11.286576271057129,267.73760986328125,162.3915557861328,120.09839630126953,0.02377193421125412,3.772092819213867,299.17326164245605
20,-11.513652801513672,260.7561950683594,163.09510803222656,119.78462982177734,-0.006470993161201477,3.56274676322937,608.7386479377747
30,-10.834147453308105,284.0909118652344,167.7399444580078,120.90830993652344,-0.056861985474824905,2.96160626411438,1098.5962855815887
40,-10.955299377441406,279.72027587890625,165.99960327148438,120.57890319824219,0.0754542201757431,4.244433879852295,1669.9977819919586
50,-11.498602867126465,262.8121032714844,163.52279663085938,120.34954071044922,-0.014397833496332169,3.3993802070617676,1796.2057359218597
60,-11.290067672729492,269.5417785644531,164.2997283935547,120.71595001220703,-0.039813630282878876,2.963992118835449,1917.4330925941467
70,-11.171379089355469,272.47955322265625,162.82432556152344,120.33472442626953,-0.044369302690029144,3.0104613304138184,2037.7686612606049
80,-10.969291687011719,279.72027587890625,163.72508239746094,120.99823760986328,0.14282432198524475,4.199053764343262,2159.9512269496918
90,-10.837550163269043,284.0909118652344,161.7847900390625,121.06912994384766,0.0460895374417305,4.7438459396362305,2281.142806529999
100,-11.622082710266113,258.06451416015625,154.9628448486328,119.96151733398438,-0.025632433593273163,2.7879998683929443,2401.0958404541016
110,-11.476411819458008,265.95745849609375,168.90911865234375,121.33143615722656,0.11964155733585358,4.534690856933594,2521.556908607483
120,-10.876132011413574,280.5049133300781,157.0192413330078,120.2053451538086,-0.015076320618391037,3.0204503536224365,2642.412479877472
130,-11.034561157226562,276.62518310546875,161.13876342773438,120.52194213867188,-0.029238175600767136,2.554009437561035,2762.065128326416
140,-11.16623306274414,269.9055480957031,156.60098266601562,119.62603759765625,-0.011767164804041386,2.8236756324768066,2882.989009618759
150,-11.168486595153809,269.9055480957031,160.9718475341797,119.39786529541016,0.038253556936979294,3.829993963241577,3002.288437128067
160,-11.4318208694458,264.9006652832031,165.15267944335938,120.46929931640625,-0.0017750067636370659,3.4515743255615234,3122.0362384319305
170,-11.523271560668945,261.78009033203125,172.50193786621094,119.83412170410156,-0.04212209954857826,3.059072732925415,3241.5460267066956
180,-10.899473190307617,282.4858703613281,165.70912170410156,121.12334442138672,0.00289706327021122,3.850602149963379,3362.039824962616
190,-10.874092102050781,280.89886474609375,160.77340698242188,120.32856750488281,0.04342420771718025,3.1249656677246094,3482.8262042999268
200,-11.052690505981445,272.8512878417969,159.50680541992188,119.14515686035156,0.08246226608753204,3.4824395179748535,3604.144175052643
210,-11.249259948730469,268.0965270996094,160.8282928466797,119.59439086914062,0.10920710116624832,4.00242805480957,3726.504341840744
220,-10.717453956604004,286.532958984375,157.9839630126953,120.63053131103516,0.008562538772821426,3.2894766330718994,3851.3414657115936
230,-11.368444442749023,267.73760986328125,162.15170288085938,120.92876434326172,-0.008437884971499443,3.111895799636841,3974.1431696414948
240,-11.023975372314453,278.9400329589844,162.33224487304688,121.38524627685547,0.012537920847535133,3.2380146980285645,4096.685399055481
250,-11.2073974609375,271.37042236328125,166.2876739501953,120.42254638671875,0.02763526700437069,3.787745952606201,4219.495145559311
260,-11.412857055664062,262.8121032714844,162.88685607910156,119.13748168945312,0.05896342173218727,4.101003646850586,4340.8732578754425
270,-11.254539489746094,267.73760986328125,153.83685302734375,119.70210266113281,-0.06789227575063705,2.792879581451416,4466.482073068619
280,-11.61910343170166,261.4378967285156,166.19541931152344,121.21717834472656,-0.009595489129424095,3.5464975833892822,4826.825955152512
290,-11.136324882507324,272.8512878417969,164.40101623535156,120.31855773925781,-0.039692819118499756,3.2990472316741943,5291.9923276901245
300,-11.54944896697998,260.4166564941406,167.2161865234375,119.89910888671875,0.00900321826338768,3.6749846935272217,5830.283955574036
310,-10.977900505065918,276.24310302734375,156.82676696777344,119.6576156616211,-0.08446437865495682,2.1545212268829346,6372.269066572189
320,-11.471410751342773,265.2519836425781,161.41448974609375,121.15966033935547,-0.06335358321666718,2.542181968688965,6933.2141790390015
330,-10.667244911193848,288.1844482421875,160.39547729492188,120.46821594238281,-0.008639242500066757,3.455569267272949,7499.109907627106
340,-11.111320495605469,275.862060546875,164.6798858642578,120.99048614501953,-0.012251302599906921,3.5509910583496094,8075.444791316986
350,-11.103191375732422,273.2240295410156,161.19264221191406,119.86432647705078,-0.009130923077464104,3.712827682495117,8638.186581611633
360,-11.124459266662598,273.2240295410156,157.63571166992188,120.50440216064453,0.037826184183359146,4.192568302154541,9180.447147369385
370,-11.266349792480469,268.0965270996094,158.43894958496094,119.79906463623047,0.061822377145290375,4.075542449951172,9705.849489212036
380,-10.963616371154785,278.5515441894531,154.57278442382812,120.5474624633789,0.013422739692032337,3.235306739807129,10259.37007856369
390,-11.184043884277344,269.17901611328125,158.5867462158203,119.24182891845703,0.05686349421739578,3.6906521320343018,10738.949501037598
400,-11.1912260055542,271.7391357421875,161.4622039794922,120.51505279541016,0.0009752856567502022,2.974679470062256,11286.940507411957
410,-11.467696189880371,261.78009033203125,158.54881286621094,119.72359466552734,-0.044600069522857666,3.12107515335083,11853.79074883461
420,-11.162766456604004,273.5978088378906,164.02952575683594,120.85405731201172,-0.09601074457168579,2.424105644226074,12388.031370401382
430,-10.93924617767334,280.89886474609375,165.82443237304688,121.06912994384766,0.04617278650403023,3.5124406814575195,14681.056802511215
440,-11.1491117477417,271.7391357421875,159.40003967285156,119.986083984375,0.012137945741415024,3.470095157623291,15234.537458181381
450,-11.189260482788086,269.5417785644531,156.5044403076172,119.5313949584961,0.04411644488573074,4.321230888366699,15833.749339103699
460,-11.592399597167969,257.06939697265625,157.4172821044922,118.95919036865234,-0.059793028980493546,2.8580849170684814,16387.903542995453
470,-11.28907299041748,268.4563903808594,164.50558471679688,120.19742584228516,0.041528135538101196,4.1519670486450195,16969.944135665894
480,-11.590290069580078,261.78009033203125,161.54248046875,121.03250122070312,0.01594931073486805,3.6757631301879883,17553.12123799324
490,-11.149951934814453,270.635986328125,161.6000213623047,119.54595947265625,-0.12779422104358673,2.2230801582336426,18138.820996761322
500,-10.940479278564453,281.6901550292969,168.96649169921875,121.15916442871094,0.022480033338069916,3.458718776702881,18703.682755470276
510,-11.5261812210083,263.5046081542969,167.97366333007812,120.72310638427734,-0.016100160777568817,3.3373141288757324,18832.224680185318
520,-11.100067138671875,274.72528076171875,160.86972045898438,120.55271911621094,-0.06915126740932465,2.733583450317383,18964.727118253708
530,-11.27370548248291,270.270263671875,164.0010528564453,120.80665588378906,-0.12674304842948914,2.515322208404541,19114.828328371048
540,-10.855984687805176,280.1120300292969,154.57908630371094,119.50979614257812,0.04511979967355728,4.338727951049805,19243.327559947968
550,-11.20391845703125,268.4563903808594,158.8696746826172,119.19937896728516,0.09529966861009598,4.5417327880859375,19372.09667634964
560,-11.381074905395508,265.604248046875,163.54830932617188,120.28658294677734,0.031113475561141968,3.6948704719543457,19501.89511489868
570,-11.326374053955078,268.4563903808594,162.9260711669922,120.73172760009766,0.009051088243722916,3.3761534690856934,19630.13316631317
580,-11.354808807373047,267.022705078125,163.90701293945312,120.49906921386719,-0.015049831010401249,2.916712522506714,19758.45637178421
590,-11.190756797790527,272.1088562011719,162.72872924804688,120.56884765625,0.011795911937952042,3.353879451751709,19886.098544597626
600,-11.39925479888916,265.2519836425781,159.95228576660156,120.23758697509766,-0.08336575329303741,2.662153482437134,20014.51884508133
610,-10.897765159606934,282.0874328613281,167.13037109375,120.98645782470703,0.09127267450094223,4.771663665771484,20144.031760692596
620,-11.257225036621094,267.022705078125,154.64834594726562,119.39435577392578,0.0833476111292839,3.839700698852539,20273.94713807106
630,-11.414742469787598,264.2008056640625,160.77053833007812,119.9976806640625,0.0018307524733245373,3.190545082092285,20403.767726898193
640,-10.947457313537598,279.72027587890625,161.09963989257812,120.55425262451172,-0.057279400527477264,2.9347519874572754,20532.249482870102
650,-11.316386222839355,265.604248046875,161.80877685546875,119.32194519042969,0.04557913541793823,3.8727500438690186,20663.00974702835
660,-10.977476119995117,278.5515441894531,163.98324584960938,120.61140441894531,0.03956884145736694,3.550732374191284,20791.69745016098
670,-11.110611915588379,277.00830078125,161.98910522460938,121.58917236328125,-0.022783339023590088,2.9048051834106445,20922.869439840317
680,-11.151127815246582,272.1088562011719,159.06256103515625,120.1582260131836,-0.0794731006026268,2.4422953128814697,21050.258627176285
690,-11.347646713256836,267.3796691894531,165.61680603027344,120.4710922241211,-0.030458129942417145,2.932220935821533,21176.928919553757
700,-11.385615348815918,264.2008056640625,154.78890991210938,119.75286102294922,0.13976620137691498,5.764401912689209,21307.010879039764
710,-11.084970474243164,275.862060546875,164.02699279785156,120.86357116699219,-0.1047431081533432,2.742691993713379,21434.33191561699
720,-11.401124000549316,266.6666564941406,161.941162109375,120.9236831665039,-0.0004708496853709221,3.4946835041046143,21565.07309985161
730,-11.176309585571289,269.9055480957031,154.25938415527344,119.7950668334961,-0.01352870836853981,3.0343823432922363,21694.288355588913
740,-11.545024871826172,261.09661865234375,161.38497924804688,120.38495635986328,0.11711295694112778,4.898758888244629,21822.58806657791
750,-10.859944343566895,283.6879577636719,158.92855834960938,121.3384017944336,0.03070480190217495,3.912088394165039,21952.002030849457
760,-11.298608779907227,264.9006652832031,153.9637908935547,119.03296661376953,-0.06284908950328827,2.418116807937622,22080.015249729156
770,-11.057868003845215,274.3484191894531,157.14474487304688,119.88487243652344,0.09245771169662476,4.19863224029541,22207.695454359055
780,-10.79460620880127,282.4858703613281,161.7236785888672,119.94709014892578,-0.000629885122179985,3.074254035949707,22337.164478063583
790,-10.880715370178223,281.2939453125,160.6089630126953,120.46209716796875,-0.030566325411200523,2.7326836585998535,22467.406889915466
700,-4.7390546798706055,673.4006958007812,59.7711296081543,95.52334594726562,0.07193426787853241,0.22928103804588318,15.169561386108398
710,-11.286576271057129,267.73760986328125,162.3915557861328,120.09839630126953,0.02377193421125412,3.772092819213867,293.34743785858154
700,-4.7269134521484375,673.4006958007812,59.58427810668945,95.0248031616211,0.045135170221328735,0.1181035116314888,17.323888778686523
710,-11.119178771972656,276.24310302734375,159.6006622314453,121.4186019897461,-0.07163015007972717,1.957603931427002,392.8704426288605
720,-11.563751220703125,259.40338134765625,157.80613708496094,119.75848388671875,0.016542010009288788,3.1105380058288574,934.3307492733002
730,-11.143559455871582,271.7391357421875,152.59274291992188,119.98624420166016,0.022890571504831314,2.677468776702881,1519.668820142746
740,-11.521899223327637,261.78009033203125,158.72459411621094,120.38545989990234,-0.006373479962348938,2.753302812576294,2122.1051049232483
750,-11.266060829162598,268.81719970703125,157.02000427246094,120.15831756591797,0.03777866065502167,2.8032851219177246,2323.788791656494
760,-11.12436580657959,272.47955322265625,158.4288787841797,120.08592224121094,0.1360606551170349,4.6280083656311035,2451.616682767868
770,-10.963780403137207,279.3296203613281,164.44577026367188,120.4814453125,-0.027161089703440666,2.5838305950164795,2638.4004471302032
780,-11.27949047088623,272.47955322265625,161.79408264160156,121.9078369140625,0.05675406754016876,3.368483543395996,2822.1357724666595
790,-11.489766120910645,261.4378967285156,151.96304321289062,119.81262969970703,-0.022729016840457916,2.4605507850646973,3045.819812774658
800,-11.313297271728516,267.73760986328125,160.0306854248047,120.35734558105469,-0.007608384825289249,2.4850246906280518,3586.5771679878235
810,-11.515412330627441,260.4166564941406,152.01004028320312,119.78792572021484,0.05572093278169632,3.3450050354003906,4192.8484036922455
820,-11.11848258972168,273.97259521484375,159.09439086914062,120.55284881591797,-0.018344532698392868,3.3301033973693848,4790.823548316956
